"Show Report","Show Report"
Filter,Filter
From,From
To,To
"Fulfil Action","Fulfil Action"
"User Name","User Name"
"Total Requests","Total Requests"
"Fulfilment by staff","Fulfilment by staff"
Day,Day
"Fulfilment by staff (Daily)","Fulfilment by staff (Daily)"
"Warehouse Name","Warehouse Name"
"Total Picked Requests","Total Picked Requests"
"Total Packed Requests","Total Packed Requests"
"Fulfilment by %1","Fulfilment by %1"
"Fulfilment by %1 (Daily)","Fulfilment by %1 (Daily)"
Reports,Reports
Dashboard,Dashboard
"Fulfilment Reports","Fulfilment Reports"
"Fulfilment - Reports","Fulfilment - Reports"
"Fulfilment Report","Fulfilment Report"
"Hello World","Hello World"
Picked,Picked
Packed,Packed
All<br>carriers<br>,All<br>carriers<br>
Today,Today
Yesterday,Yesterday
"Last 7 days","Last 7 days"
"Last 30 days","Last 30 days"
"Custom Range","Custom Range"
OK,OK
"Last 14 days","Last 14 days"
Reports:,Reports:
"Staff Report","Staff Report"
"Warehouse Report","Warehouse Report"
"Report Sales By Status","Report Sales By Status"
