"Generate Report","Generate Report"
"Stock Value","Stock Value"
"View current stock levels, avg. cost and total stock value.","View current stock levels, avg. cost and total stock value."
"Stock Details","Stock Details"
"View Qty. on-hand, Qty. Available, Qty. to ship and Qty. on order","View Qty. on-hand, Qty. Available, Qty. to ship and Qty. on order"
"Stock by Source","Stock by Source"
"Compare stock levels between warehouse","Compare stock levels between warehouse"
"Incoming Stock","Incoming Stock"
"View PO list of incoming stock and their cost","View PO list of incoming stock and their cost"
"Historical Stock","Historical Stock"
"Export stock levels, avg.cost and stock value from a past date.","Export stock levels, avg.cost and stock value from a past date."
Product,Product
"View sales, COGS and profit statistics by product.","View sales, COGS and profit statistics by product."
Warehouse,Warehouse
"View sales, COGS and profit statistics by warehouse.","View sales, COGS and profit statistics by warehouse."
"Shipping Method","Shipping Method"
"View sales, COGS and profit statistics by shipping method.","View sales, COGS and profit statistics by shipping method."
"Payment Method","Payment Method"
"View sales, COGS and profit statistics by payment method.","View sales, COGS and profit statistics by payment method."
"Order Status","Order Status"
"View sales, COGS and profit statistics by order status.","View sales, COGS and profit statistics by order status."
Customer,Customer
"View sales, COGS and profit statistics by customer.","View sales, COGS and profit statistics by customer."
"Incoming Stock Report","Incoming Stock Report"
"Stock Value Report","Stock Value Report"
"Historical Stock Report","Historical Stock Report"
"Stock by Warehouse Report","Stock by Warehouse Report"
"Stock by Source Report","Stock by Source Report"
"Stock Details Report","Stock Details Report"
"Your request has been submitted","Your request has been submitted"
Reports,Reports
"Omni-channel Reports","Omni-channel Reports"
"Inventory Reports","Inventory Reports"
"Sales Reports","Sales Reports"
"Select Warehouse","Select Warehouse"
"This process may take few minutes.","This process may take few minutes."
Generate,Generate
"Only attributes with unique value can be used. If you don\'t have any besides SKU, create one <a target=\'_blank\' href=%1>here</a>.","Only attributes with unique value can be used. If you don\'t have any besides SKU, create one <a target=\'_blank\' href=%1>here</a>."
"Schedule time on a daily basis to auto generate new Historical Stock Reports. To get a report before this time, admin can use the manual action on the <a title=\"Historical Stock Report page\" target=\'_blank\' href=%1>Historical Stock Report page</a>.","Schedule time on a daily basis to auto generate new Historical Stock Reports. To get a report before this time, admin can use the manual action on the <a title=\"Historical Stock Report page\" target=\'_blank\' href=%1>Historical Stock Report page</a>."
Totals,Totals
"STOCK VALUE REPORT","STOCK VALUE REPORT"
"Product name","Product name"
"Qty on-hand","Qty on-hand"
"Available qty","Available qty"
"Cost (Moving Average Cost)","Cost (Moving Average Cost)"
"All Warehouses","All Warehouses"
"HISTORICAL STOCK","HISTORICAL STOCK"
"Generated Historical Report Successfully.","Generated Historical Report Successfully."
"A historical stock report has already been generated. Go to Historical Stock Report page to download this report.","A historical stock report has already been generated. Go to Historical Stock Report page to download this report."
"All Purchase Orders","All Purchase Orders"
"All Suppliers","All Suppliers"
"Qty On-hand","Qty On-hand"
"Available Qty","Available Qty"
"Qty To Ship","Qty To Ship"
"Inventory Value","Inventory Value"
"Potential Revenue","Potential Revenue"
"Profit Value","Profit Value"
"Report Dashboard","Report Dashboard"
Overview,Overview
Inventory,Inventory
"Stock Value","Stock Value"
"Stock Details","Stock Details"
"Stock By Warehouse","Stock By Warehouse"
"Incoming Stock","Incoming Stock"
"Historical Stock","Historical Stock"
Sales,Sales
Product,Product
Warehouse,Warehouse
"Shipping Method","Shipping Method"
"Payment Method","Payment Method"
"Order Status","Order Status"
Customer,Customer
Settings,Settings
Configuration,Configuration
"Omni-channel Reports","Omni-channel Reports"
"Inventory Reports","Inventory Reports"
"Sales Reports","Sales Reports"
"Export","Export"
"Date","Date"
"File size (byte)","File size (byte)"
"Download","Download"
"CSV","CSV"
"SKU","SKU"
"Barcode","Barcode"
"Name","Name"
"All Suppliers","All Suppliers"
"Qty in Warehouse(s)","Qty in Warehouse(s)"
"Incoming Stock","Incoming Stock"
"Overdue Incoming Stock","Overdue Incoming Stock"
"Total Cost of Incoming Stock","Total Cost of Incoming Stock"
"All Warehouses","All Warehouses"
"Qty On-hand","Qty On-hand"
"Show Report","Show Report"
"Available Qty","Available Qty"
"Qty to Ship","Qty to Ship"
"Cost (Moving Average Cost)","Cost (Moving Average Cost)"
"Price","Price"
"Location Breakdown","Location Breakdown"
"Export stock levels, avg.cost and stock value from a past date","Export stock levels, avg.cost and stock value from a past date"
"Incoming Stock","Incoming Stock"
"View PO list of incoming stock and their cost","View PO list of incoming stock and their cost"
"Stock by Warehouse","Stock by Warehouse"
"Compare stock levels between warehouse","Compare stock levels between warehouse"
"Stock Details","Stock Details"
"View Qty. on-hand, Qty. Available, Qty. to ship and Qty. on order","View Qty. on-hand, Qty. Available, Qty. to ship and Qty. on order"
"Stock Value","Stock Value"
"View current stock levels, avg. cost and total stock value","View current stock levels, avg. cost and total stock value"


